Nasa_log,F1,0.74179;0.00241,0.73326;0.0016,0.60603;0.01552,0.71495;0.00166,0.71188;0.00412,0.58363;0.01131,0.73865;0.00118,0.72894;0.00375,0.70623;0.00355,0.71725;0.00481,0.70933;0.00549,0.61959;0.00206,0.72046;0.00696,0.71241;0.00201,0.69515;0.00337,0.70512;0.00456,0.70457;0.00527,0.59078;0.00479
Nasa_log,Time,1730.86807;454.98819,1355.28185;121.46191,3313.33064;604.38199,325.02601;26.71739,308.03211;45.58212,1308.82431;428.05427,869.33988;40.90802,1062.88099;123.86216,1424.9298;171.33352,593.04085;25.1895,706.31385;137.73687,1465.78592;291.65286,4.23695;0.27094,24.11506;1.29448,0.28554;0.00295,0.50102;0.01187,4.46777;0.06488,0.21949;0.00165
PD_3_1,Accuracy,0.57692;0.18711,0.39744;0.20067,0.23077;0.0,0.69231;0.1175,0.82051;0.12297,0.23077;0.0,0.44872;0.13628,0.20513;0.03626,0.23077;0.0,0.30769;0.15385,0.21795;0.08209,0.23077;0.0,0.96065;0.0558,0.95833;0.05893,0.0;0.0,0.96065;0.0558,0.96065;0.0558,0.0;0.0
PD_3_1,Precision,0.52481;0.23525,0.2881;0.18645,0.05325;0.0,0.59116;0.18818,0.81261;0.16567,0.05325;0.0,0.24873;0.1213,0.04339;0.01395,0.05325;0.0,0.13741;0.13428,0.05822;0.05249,0.05325;0.0,0.98032;0.0279,0.97917;0.02946,0.0;0.0,0.97685;0.0337,0.98032;0.0279,0.0;0.0
PD_3_1,Recall,0.57692;0.18711,0.39744;0.20067,0.23077;0.0,0.69231;0.1175,0.82051;0.12297,0.23077;0.0,0.44872;0.13628,0.20513;0.03626,0.23077;0.0,0.30769;0.15385,0.21795;0.08209,0.23077;0.0,0.96065;0.0558,0.95833;0.05893,0.0;0.0,0.96065;0.0558,0.96065;0.0558,0.0;0.0
PD_3_1,F1,0.50214;0.21221,0.30601;0.19167,0.08654;0.0,0.61683;0.16031,0.79664;0.15381,0.08654;0.0,0.30729;0.13771,0.07137;0.02145,0.08654;0.0,0.17532;0.15246,0.08762;0.06667,0.08654;0.0,0.96188;0.05426,0.95833;0.05893,0.0;0.0,0.96049;0.05652,0.96188;0.05426,0.0;0.0
PD_3_1,Time,,,,,3.5947;0.25423,20.33922;2.38445,3.91368;0.75165,3.29956;0.37098,16.7795;1.86165,,,,,,,,,
PD_3_10,Accuracy,0.91481;0.00828,0.92593;0.01048,0.13704;0.01656,0.91852;0.01048,0.92222;0.01111,0.13519;0.01969,0.2;0.0,0.2;0.0,0.11111;0.0,0.21852;0.04141,0.2;0.0,0.11111;0.0,0.90235;0.03508,0.91342;0.00603,0.0;0.0,0.91615;0.0195,0.90226;0.03244,0.0;0.0
PD_3_10,Precision,0.94762;0.00213,0.95048;0.00269,0.01905;0.00464,0.94857;0.00269,0.94952;0.00286,0.01866;0.00538,0.04;0.0,0.04;0.0,0.01235;0.0,0.05935;0.04327,0.04;0.0,0.01235;0.0,0.95715;0.02039,0.9463;0.00186,0.0;0.0,0.94796;0.00855,0.95597;0.02012,0.0;0.0
PD_3_10,Recall,0.91481;0.00828,0.92593;0.01048,0.13704;0.01656,0.91852;0.01048,0.92222;0.01111,0.13519;0.01969,0.2;0.0,0.2;0.0,0.11111;0.0,0.21852;0.04141,0.2;0.0,0.11111;0.0,0.90235;0.03508,0.91342;0.00603,0.0;0.0,0.91615;0.0195,0.90226;0.03244,0.0;0.0
PD_3_10,F1,0.90968;0.00809,0.92054;0.01024,0.0334;0.00762,0.9133;0.01024,0.91692;0.01086,0.03273;0.00887,0.06667;0.0,0.06667;0.0,0.02222;0.0,0.08632;0.04394,0.06667;0.0,0.02222;0.0,0.90362;0.02219,0.90401;0.00708,0.0;0.0,0.906;0.02533,0.9021;0.0168,0.0;0.0
PD_3_10,Time,14.36423;1.6173,13.77176;1.66633,12.21785;3.65626,15.97262;2.99388,11.54748;1.14931,14.55434;5.17843,3.38251;0.42154,4.02203;0.27514,56.97077;8.91802,3.32932;0.37631,3.60538;0.36595,60.3136;2.69325,0.00204;0.00043,0.00318;0.00086,0.00165;0.00022,0.00158;0.00031,0.00176;6e-05,0.00151;0.00024
PD_3_4,Accuracy,0.73476;0.2611,0.60772;0.30797,0.17988;0.02045,0.86484;0.00227,0.86382;0.00287,0.18902;0.02587,0.6372;0.31485,0.1128;0.03316,0.17073;0.0,0.73171;0.2612,0.09858;0.01591,0.17073;0.0,0.83686;0.02872,0.83538;0.03467,0.0;0.0,0.78964;0.02355,0.79425;0.02647,0.0;0.0
