name,metric,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
PD_4_3,Time,121,210,113,19,29,72,115,166,73,46,57,94,0,0,0,0,0,0
PD_4_4,Accuracy,70.87,69.95,55.98,71.42,67.9,67.16,68.22,54.54,69.04,70.49,48.47,68.09,64.9,66.17,59.52,60.71,61.25,62.73
PD_4_4,Precision,68.94,66.63,53.68,66.23,67.43,62.09,69.82,55.77,67.69,67.16,49.37,64.45,67.76,68.23,65.03,67.09,65.72,66.82
PD_4_4,Recall,70.87,69.95,55.98,71.42,67.9,67.16,68.22,54.54,69.04,70.49,48.47,68.09,64.9,66.17,59.52,60.71,61.25,62.73
PD_4_4,F1,67.88,66.05,50.79,67.04,64.98,62.69,66.69,50.9,66.13,66.75,42.74,64.02,65.79,66.69,61.26,61.57,61.3,62.18
PD_4_4,Time,252,533,58,19,22,42,253,273,81,57,39,75,0,1,0,0,0,0
PD_4_5,Accuracy,87.26,75.05,66.67,87.05,86.41,67.52,18.58,9.66,18.05,74.42,6.79,8.92,82.77,84.05,83.89,83.58,83.41,65.24
PD_4_5,Precision,83.59,73.42,66.9,84.92,83.21,67.51,4.67,2.8,10.54,69.7,0.54,0.8,82.97,85.28,84.3,79.64,80.34,71.86
PD_4_5,Recall,87.26,75.05,66.67,87.05,86.41,67.52,18.58,9.66,18.05,74.42,6.79,8.92,82.77,84.05,83.89,83.58,83.41,65.24
PD_4_5,F1,83.67,70.64,63.27,84.37,83.0,63.36,7.09,3.27,9.73,69.88,0.99,1.46,81.42,83.0,82.63,80.03,80.37,65.97
PD_4_5,Time,31,27,24,14,14,28,10,10,9,25,7,9,0,0,0,0,0,0
PD_4_6,Accuracy,87.26,75.05,66.67,87.05,86.41,67.52,18.58,9.66,18.05,74.42,6.79,8.92,82.77,84.05,83.89,83.58,83.41,65.24
PD_4_6,Precision,83.59,73.42,66.9,84.92,83.21,67.51,4.67,2.8,10.54,69.7,0.54,0.8,82.97,85.28,84.3,79.64,80.34,71.86
PD_4_6,Recall,87.26,75.05,66.67,87.05,86.41,67.52,18.58,9.66,18.05,74.42,6.79,8.92,82.77,84.05,83.89,83.58,83.41,65.24
PD_4_6,F1,83.67,70.64,63.27,84.37,83.0,63.36,7.09,3.27,9.73,69.88,0.99,1.46,81.42,83.0,82.63,80.03,80.37,65.97
PD_4_6,Time,31,27,24,14,14,28,10,10,9,25,7,9,0,0,0,0,0,0
PD_4_10,Accuracy,88.23,78.34,81.77,87.55,88.23,75.37,88.37,77.51,88.14,87.89,75.08,75.78,87.48,87.51,89.04,88.5,88.5,69.04
PD_4_10,Precision,85.74,71.26,79.01,85.51,85.74,77.85,85.87,74.83,85.83,85.63,72.06,77.79,88.37,88.63,87.22,87.77,87.79,88.33
PD_4_10,Recall,88.23,78.34,81.77,87.55,88.23,75.37,88.37,77.51,88.14,87.89,75.08,75.78,87.48,87.51,89.04,88.5,88.5,69.04
PD_4_10,F1,85.14,73.67,78.16,84.3,85.14,72.48,85.51,74.07,85.09,84.72,70.55,72.81,86.98,87.11,86.84,87.3,87.3,74.56
PD_4_10,Time,102,113,62,24,30,62,116,152,83,62,56,88,0,0,0,0,0,0
PD_5_1,Accuracy,61.15,61.32,36.95,57.91,55.35,42.32,58.62,52.05,62.51,55.55,55.15,57.99,50.53,50.96,53.31,47.29,48.83,46.09
PD_5_1,Precision,62.82,61.17,36.03,56.23,52.15,41.14,59.88,46.28,63.78,54.91,53.02,56.34,57.65,58.11,66.86,53.69,55.25,55.22
PD_5_1,Recall,61.15,61.32,36.95,57.91,55.35,42.32,58.62,52.05,62.51,55.55,55.15,57.99,50.53,50.96,53.31,47.29,48.83,46.09
PD_5_1,F1,59.26,57.89,32.62,54.63,50.86,37.31,56.33,45.69,60.3,52.71,50.74,54.96,52.46,52.77,56.95,48.12,49.82,47.12
PD_5_1,Time,104,126,92,21,20,83,117,144,130,37,51,223,0,0,0,0,0,0
PD_5_2,Accuracy,64.5,66.22,60.29,61.77,61.03,55.05,66.39,62.95,66.29,61.48,59.88,56.39,60.03,59.83,56.85,50.4,50.56,41.12
PD_5_2,Precision,63.98,67.99,59.37,60.97,59.35,50.52,67.84,63.01,67.05,61.21,59.86,53.65,67.5,67.03,71.15,59.53,59.15,49.96
PD_5_2,Recall,64.5,66.22,60.29,61.77,61.03,55.05,66.39,62.95,66.29,61.48,59.88,56.39,60.03,59.83,56.85,50.4,50.56,41.12
PD_5_2,F1,60.9,64.41,55.95,59.15,57.93,50.51,64.9,60.76,64.64,58.68,57.06,52.98,62.35,62.07,61.14,51.98,52.08,44.45
PD_5_2,Time,600,1683,641,78,142,471,670,1348,753,347,274,925,2,4,0,0,1,0
PD_5_3,Accuracy,35.76,33.17,32.84,27.87,28.12,23.85,30.43,26.13,34.46,27.24,27.87,26.71,16.27,14.22,15.49,10.48,9.93,6.07
PD_5_3,Precision,32.3,26.24,29.64,21.92,21.79,18.1,24.45,18.69,32.22,21.32,21.35,21.6,17.8,16.12,20.19,19.49,19.05,19.56
PD_5_3,Recall,35.76,33.17,32.84,27.87,28.12,23.85,30.43,26.13,34.46,27.24,27.87,26.71,16.27,14.22,15.49,10.48,9.93,6.07
PD_5_3,F1,30.64,27.22,27.61,22.99,22.97,18.37,25.51,20.01,30.69,22.41,22.17,22.08,16.89,15.0,17.27,13.28,12.77,8.8
PD_5_3,Time,1917,3079,1744,103,170,768,1472,2109,1112,430,787,928,12,37,0,0,2,0
